day,hour,instrument,cost
Monday,1,guitar,1
Monday,1,violin,0
Monday,1,piano,0
Monday,1,harp,0
Monday,2,guitar,0
Monday,2,violin,0
Monday,2,piano,0
Monday,2,harp,0
Monday,3,guitar,0
Monday,3,violin,0
Monday,3,piano,1
Monday,3,harp,0
Tuesday,1,guitar,1
Tuesday,1,violin,0
Tuesday,1,piano,0
Tuesday,1,harp,1
Tuesday,2,guitar,0
Tuesday,2,violin,0
Tuesday,2,piano,0
Tuesday,2,harp,1
Tuesday,3,guitar,0
Tuesday,3,violin,0
Tuesday,3,piano,1
Tuesday,3,harp,1
Wednesday,1,guitar,0
Wednesday,1,violin,0
Wednesday,1,piano,0
Wednesday,1,harp,0
Wednesday,2,guitar,0
Wednesday,2,violin,1
Wednesday,2,piano,0
Wednesday,2,harp,0
Wednesday,3,guitar,0
Wednesday,3,violin,0
Wednesday,3,piano,1
Wednesday,3,harp,0
Thursday,1,guitar,0
Thursday,1,violin,0
Thursday,1,piano,0
Thursday,1,harp,0
Thursday,2,guitar,0
Thursday,2,violin,1
Thursday,2,piano,0
Thursday,2,harp,0
Thursday,3,guitar,0
Thursday,3,violin,0
Thursday,3,piano,1
Thursday,3,harp,0
